x,y,z
David_Table_131028_Aft_seg.xml,1.75,0.36,0.02
Francisco_Table_131109_Mor_seg.xml,1.42,0.3,0.0
Miro_Table_131029_Aft_seg.xml,1.29,0.27,0.01
Yasemin_Table_131029_Aft_seg.xml,1.66,0.34,0.01
Rares_Table_131028_Mor_seg.xml,1.17,0.33,0.02
Marina_Table_131101_Eve_seg.xml,1.67,0.39,0.03
Miro_Table_131108_Mor_seg.xml,1.3,0.3,0.01
Francisco_Table_131024_Mor_seg.xml,0.75,0.25,0.04
Rasmus_Table_131115_Mor_seg.xml,0.94,0.12,0.02
Kaiyu_Table_131101_Eve_seg.xml,1.08,0.35,0.03
Ali_Table_131109_Mor_seg.xml,1.04,0.34,0.01
Rares_Table_131023_Aft_seg.xml,1.17,0.36,0.02
Rasmus_Table_131107_Mor_seg.xml,0.93,0.12,0.02
Akshaya_Table_131111_Aft_seg.xml,0.96,0.11,0.02
Marina_Table_131024_Mor_seg.xml,1.56,0.43,0.02
Yuquan_Table_131101_Aft_seg.xml,1.04,0.32,0.02
David_Table_131023_Mor_seg.xml,1.73,0.37,0.06
Carl_Table_131024_Aft_seg.xml,1.04,0.39,0.01
Hossein_Table_131024_Mor_seg.xml,0.77,0.29,0.02
Kaiyu_Table_131106_Aft_seg.xml,1.14,0.37,0.03
Yuquan_Table_131116_Aft_seg.xml,0.69,0.2,0.02
Yuquan_Table_131024_Eve_seg.xml,0.76,0.18,0.0
Rares_Table_131029_Mor_seg.xml,1.3,0.4,0.01
Kaiyu_Table_131101_Mor_seg.xml,1.07,0.37,0.02
Ali_Table_131112_Eve_seg.xml,0.94,0.34,0.01
David_Table_131114_Eve_seg.xml,1.72,0.37,0.02
Petter_Table_131101_Eve_seg.xml,1.32,0.35,0.02
Michele_Table_131030_Aft_seg.xml,1.06,0.19,0.02
Marina_Table_131114_Mor_seg.xml,1.55,0.39,0.06
Yasemin_Table_131114_Eve_seg.xml,1.87,0.42,0.01
Rares_Table_131115_Mor_seg.xml,1.32,0.27,0.02
Florian_Table_131029_Aft_seg.xml,1.12,0.26,0.03
Ali_Table_131030_Aft_seg.xml,1.44,0.26,0.02
Kaiyu_Table_131107_Mor_seg.xml,1.07,0.38,0.04
