x,y,z
1.71,0.301,-0.01
1.38,0.233,-0.02
1.24,0.19,-0.02
1.62,0.274,-0.02
1.13,0.27,0
1.63,0.332,0
1.26,0.233,-0.01
0.692,0.168,0
0.907,0.0653,-0.01
1.03,0.27,0
1.08,0.134,-0.01
0.997,0.274,-0.02
1.13,0.292,0
0.899,0.0578,-0.01
0.926,0.0608,0
1.52,0.373,-0.01
0.993,0.254,0
1.7,0.311,0.04
1.01,0.32,-0.01
0.733,0.22,-0.01
1.1,0.308,0
0.643,0.131,-0.008
0.729,0.12,-0.03
1.26,0.332,-0.02
1.03,0.31,0
0.914,0.272,-0.02
1.68,0.301,-0.01
1.29,0.29,0
1.02,0.125,-0.01
1.5,0.324,-0.02
1.83,0.355,-0.01
1.28,0.204,-0.01
1.09,0.21,0
1.4,0.194,-0.01
1.03,0.306,0
1.65,0.108,0
1.65,0.12,0
1.52,0.166,-0.02
1.28,0.188,-0.01
1.03,0.192,-0
1.82,0.209,0
0.952,0.186,-0.02
0.943,0.153,2.24e-10
1.11,0.159,0.02
1.24,0.16,2.24e-10
0.982,0.105,0
0.964,0.184,0
1.25,0.242,-0.01
1.29,0.265,-0.02
1.66,0.311,0.04
0.95,0.061,0
1.64,0.0404,-0.01
0.736,0.163,0
1.36,0.223,0
1.1,0.261,0
1.77,0.342,-0.02
1,0.158,0
1.52,0.0854,0
1.04,0.0741,2.24e-10
0.981,0.302,-0.01
1.31,0.341,-0.01
1.62,0.266,0
2.63,0.0813,-0.02
1.14,0.147,0
0.978,0.105,-2.24e-10
1.32,0.189,-0.01
1.63,0.307,0
1.65,0.116,0
0.98,0.208,0
1.28,0.156,-0.02
0.942,0.169,0.01
2.03,0.0388,-2.24e-10
1.37,0.342,-0.01
1.08,0.0668,0
1.01,0.236,-0.02
1.13,0.254,-0.01
0.89,0.0606,2.24e-10
0.976,0.0557,-2.24e-10
1.11,0.066,0
1.26,0.314,-0.02
1.02,0.378,-0.01
1.03,0.197,0
1.69,0.092,-0.01
1,0.182,-0.01
1.05,0.24,-0.01
0.116,0.181,-0.01
0.855,0.0563,-0.02
0.908,0.0729,-0.01
1.61,0.239,0
1.62,0.128,-0.01
1.27,0.19,-0.01
1,0.185,-0.02
0.907,0.0292,-0.01
1.32,0.303,-0.02
2.16,0.138,-0.02
0.864,0.1,0
2.21,0.162,0.03
1.6,0.26,0
1.42,0.189,0
1.01,0.487,-0.01
1.29,0.228,0
1.24,0.204,-2.24e-10
1.04,0.497,0
1.63,0.0874,0
1.63,0.119,-0
1.06,0.204,0
1.41,0.165,0
1.62,0.117,-0.01
1.63,0.294,2.24e-10
1.37,0.0839,-0.01
0.99,0.131,-0.01
1.01,0.256,0
1.02,0.361,-0.005
0.916,0.026,2.24e-10
1.53,0.0859,0
